spot,price,delta,gamma,vega,theta,rho
80.0,0.0001456607408855011,0.0001074070218045074,7.38298243416279e-05,0.009709127584652437,-4.161180799588859e-05,0.0006942658359020623
84.44444444444444,0.002737029986242534,0.0016066295017897012,0.0008583421243468853,0.1257682422685847,-0.0005422444668570632,0.010926074442776162
88.88888888888889,0.02786282533636686,0.012843724476357407,0.005199727781926158,0.84419730604585,-0.003670064333076257,0.09154533473112898
93.33333333333333,0.16999596752150303,0.060550406204107864,0.017935300606749343,3.210336912258329,-0.014127277126856541,0.45052399546810107
97.77777777777777,0.6796032287402376,0.18376534141263462,0.03793088095063259,7.4514647915195,-0.033416066332768946,1.4209778208626145
102.22222222222223,1.929187466906292,0.38939197987672935,0.05234510589935808,11.239192702490278,-0.05201837041995659,3.1130404957482587
106.66666666666667,4.183064093002585,0.6228218332249225,0.04968976893743205,11.61696881094302,-0.05693160723066293,5.116542311040203
111.11111111111111,7.39617269225694,0.8112362469743933,0.03393889131395223,8.60956146980016,-0.047207582117227934,6.800645595836355
115.55555555555556,11.278878886499527,0.9235955937744209,0.017334814454972772,4.7563001812528025,-0.03289294797815612,7.845018333761661
120.0,15.514734874013385,0.97478182726764,0.006845030118413575,2.0253787747634684,-0.02233758294025008,8.339102827241375
